Age_Gyr,age_err,N,sigma_r_kms,sigma_r_err,sigma_phi_kms,sigma_phi_err,sigma_z_kms,sigma_z_err
3.2,0.6,100,29.8,2.4,19.0,1.9,13.8,1.3
3.8,0.3,100,31.3,2.5,19.7,1.8,14.8,1.4
4.5,0.3,168,35.2,2.1,21.1,1.4,16.1,1.1
5.0,0.4,224,38.2,2.1,21.0,1.2,17.3,1.1
5.7,0.4,196,39.8,2.4,23.7,1.4,22.1,1.3
6.4,0.5,135,43.6,3.1,30.0,2.3,27.9,2.1
7.6,0.6,106,53.4,4.4,42.5,4.0,33.9,2.8
8.9,0.8,116,56.5,4.2,37.8,3.0,35.4,2.6
10.1,0.6,110,56.5,4.1,34.3,2.5,37.5,2.8
