CLUSTER,DR2NAME,DR2_NUM,ID,ID_SOURCE,RA,DEC,BP_RP,GMAG,AGE,AV,PLX,DISTANCE,DM,BP_RP_0,M_G,BINARY_SHORT,BINARY_WIDE,PROT,E_PROT,PROT_REF,TEFF,MASS,BENCH
"Hyades","Gaia DR2 3312899491645515776","3312899491645515776","210551925","EPIC",67.37957012440999,16.24469521873000,1.38410,9.92730,730.000,0.00000,21.7000,46.0829,3.31770,1.38410,6.60960,0.00000,0.00000,11.6936,0.00000,"Douglas et al. (2019)",4462.92,0.723525,0
"Hyades","Gaia DR2 3313759000500605056","3313759000500605056","-9999","EPIC",66.25143984368000,16.98479106816000,1.23610,9.96780,730.000,0.00000,18.2821,54.6983,3.68987,1.23610,6.27793,0.00000,0.00000,11.7700,0.00000,"Douglas et al. (2019)",4726.06,0.780723,1
"Hyades","Gaia DR2 3312025586058376704","3312025586058376704","-9999","EPIC",65.85589474388000,15.76300884424000,1.49510,10.0187,730.000,0.00000,24.0869,41.5163,3.09110,1.49510,6.92760,0.00000,0.00000,12.3800,0.00000,"Douglas et al. (2019)",4299.13,0.687722,0
"Hyades","Gaia DR2 45159901786525568","45159901786525568","-9999","EPIC",61.75566301002000,15.33494414849000,1.42090,10.0404,730.000,0.00000,22.1800,45.0857,3.27019,1.42090,6.77021,0.00000,0.00000,14.0262,0.00000,"Douglas et al. (2019)",4405.63,0.711589,1
"Hyades","Gaia DR2 3307241404808622208","3307241404808622208","-9999","EPIC",66.67894052574999,12.68646694054000,1.72920,10.0689,730.000,0.00000,NaN,NaN,NaN,1.72920,NaN,0.00000,0.00000,12.6100,0.00000,"Douglas et al. (2019)",4029.96,0.624290,0
"Hyades","Gaia DR2 3413146914550583680","3413146914550583680","247611242","EPIC",71.85948614227000,23.05074467137000,1.34410,10.3031,730.000,0.00000,18.1537,55.0852,3.70517,1.34410,6.59793,0.00000,0.00000,11.7853,0.00000,"Douglas et al. (2019)",4528.75,0.737240,1
"Hyades","Gaia DR2 144377799556207488","144377799556207488","247369717","EPIC",68.40541889062000,21.15065164692000,1.49820,10.1988,730.000,0.00000,22.8329,43.7965,3.20719,1.49820,6.99161,0.00000,0.00000,11.8317,0.00000,"Douglas et al. (2019)",4294.93,0.686708,1
"Hyades","Gaia DR2 3405988677241799040","3405988677241799040","246865157","EPIC",72.50335000913000,16.41194414669000,1.39470,10.1761,730.000,0.00000,20.2409,49.4049,3.46885,1.39470,6.70725,0.00000,0.00000,12.2166,0.00000,"Douglas et al. (2019)",4446.10,0.720022,1
"Hyades","Gaia DR2 3312903580454386048","3312903580454386048","210554781","EPIC",67.21217959497000,16.28889516496000,1.66420,10.1534,730.000,0.00000,18.3652,54.4508,3.68002,1.66420,6.47338,0.00000,0.00000,11.5143,0.00000,"Douglas et al. (2019)",4095.93,0.638667,0
"Hyades","Gaia DR2 3410453484725565312","3410453484725565312","-9999","EPIC",68.42515255188999,19.01388862485000,1.45650,10.2693,730.000,0.00000,20.9221,47.7963,3.39697,1.45650,6.87233,0.00000,0.00000,12.6395,0.00000,"Douglas et al. (2019)",4353.08,0.700648,0
